date,year,month,day,fine_gold,standard_gold,silver
2075-Baisakh-02,2075,Baisakh,2,58600,58300,750
2075-Baisakh-03,2075,Baisakh,3,58800,58500,755
2075-Baisakh-04,2075,Baisakh,4,58800,58500,755
2075-Baisakh-05,2075,Baisakh,5,59000,58700,760
2075-Baisakh-06,2075,Baisakh,6,59300,59000,780
2075-Baisakh-07,2075,Baisakh,7,59200,58900,780
2075-Baisakh-09,2075,Baisakh,9,59000,58700,780
2075-Baisakh-10,2075,Baisakh,10,59000,58700,780
2075-Baisakh-11,2075,Baisakh,11,58800,58500,765
2075-Baisakh-12,2075,Baisakh,12,59000,58700,765
2075-Baisakh-13,2075,Baisakh,13,59000,58700,765
2075-Baisakh-14,2075,Baisakh,14,58700,58400,760
2075-Baisakh-16,2075,Baisakh,16,58900,58600,760
2075-Baisakh-18,2075,Baisakh,18,58500,58200,750
2075-Baisakh-19,2075,Baisakh,19,58500,58200,755
2075-Baisakh-20,2075,Baisakh,20,58300,58000,755
2075-Baisakh-21,2075,Baisakh,21,58500,58200,755
2075-Baisakh-23,2075,Baisakh,23,58700,58400,760
2075-Baisakh-24,2075,Baisakh,24,59000,58700,765
2075-Baisakh-25,2075,Baisakh,25,59000,58700,765
2075-Baisakh-26,2075,Baisakh,26,59000,58700,765
2075-Baisakh-27,2075,Baisakh,27,59100,58800,770
2075-Baisakh-28,2075,Baisakh,28,59200,58900,775
2075-Baisakh-30,2075,Baisakh,30,59300,59000,775
2075-Baisakh-31,2075,Baisakh,31,59200,58900,775
2075-Jestha-01,2075,Jestha,1,59200,58900,770
2075-Jestha-02,2075,Jestha,2,58700,58400,765
2075-Jestha-03,2075,Jestha,3,58400,58100,765
2075-Jestha-04,2075,Jestha,4,58400,58100,765
2075-Jestha-06,2075,Jestha,6,58700,58400,770
2075-Jestha-07,2075,Jestha,7,58600,58300,770
2075-Jestha-08,2075,Jestha,8,58600,58300,770
2075-Jestha-09,2075,Jestha,9,58900,58600,775
2075-Jestha-10,2075,Jestha,10,59000,58700,775
2075-Jestha-11,2075,Jestha,11,59200,58900,780
2075-Jestha-13,2075,Jestha,13,58900,58600,770
2075-Jestha-14,2075,Jestha,14,58700,58400,770
2075-Jestha-15,2075,Jestha,15,58700,58400,770
2075-Jestha-16,2075,Jestha,16,58800,58500,765
2075-Jestha-17,2075,Jestha,17,58600,58300,765
2075-Jestha-18,2075,Jestha,18,58400,58100,765
2075-Jestha-20,2075,Jestha,20,58000,57700,760
2075-Jestha-21,2075,Jestha,21,58000,57700,760
2075-Jestha-22,2075,Jestha,22,58000,57700,760
2075-Jestha-23,2075,Jestha,23,58100,57800,765
2075-Jestha-24,2075,Jestha,24,58200,57900,770
2075-Jestha-25,2075,Jestha,25,58400,58100,775
2075-Jestha-27,2075,Jestha,27,58600,58300,780
2075-Jestha-28,2075,Jestha,28,58500,58200,785
2075-Jestha-29,2075,Jestha,29,58500,58200,785
2075-Jestha-30,2075,Jestha,30,58500,58200,785
2075-Jestha-31,2075,Jestha,31,58600,58300,790
2075-Ashad-01,2075,Ashad,1,59000,58700,800
2075-Ashad-03,2075,Ashad,3,58500,58200,780
2075-Ashad-04,2075,Ashad,4,58300,58000,775
2075-Ashad-05,2075,Ashad,5,58400,58100,775
2075-Ashad-06,2075,Ashad,6,58000,57700,765
2075-Ashad-07,2075,Ashad,7,57700,57400,765
2075-Ashad-08,2075,Ashad,8,57700,57400,765
2075-Ashad-10,2075,Ashad,10,57700,57400,770
2075-Ashad-11,2075,Ashad,11,57700,57400,770
2075-Ashad-12,2075,Ashad,12,57700,57400,770
2075-Ashad-13,2075,Ashad,13,57600,57300,765
2075-Ashad-14,2075,Ashad,14,57800,57500,765
2075-Ashad-15,2075,Ashad,15,57500,57200,765
2075-Ashad-17,2075,Ashad,17,57500,57200,765
2075-Ashad-18,2075,Ashad,18,57300,57000,760
2075-Ashad-19,2075,Ashad,19,57200,56900,755
2075-Ashad-20,2075,Ashad,20,57600,57300,760
2075-Ashad-21,2075,Ashad,21,57800,57500,765
2075-Ashad-22,2075,Ashad,22,57800,57500,760
2075-Ashad-24,2075,Ashad,24,57800,57500,760
2075-Ashad-25,2075,Ashad,25,57800,57500,760
2075-Ashad-26,2075,Ashad,26,57900,57600,765
2075-Ashad-27,2075,Ashad,27,57600,57300,760
2075-Ashad-28,2075,Ashad,28,57200,56900,755
2075-Ashad-29,2075,Ashad,29,57200,56900,755
2075-Ashad-31,2075,Ashad,31,57000,56700,750
2075-Ashad-32,2075,Ashad,32,57100,56800,750
2075-Shrawan-01,2075,Shrawan,1,57000,56700,750
2075-Shrawan-02,2075,Shrawan,2,56500,56200,745
2075-Shrawan-03,2075,Shrawan,3,56500,56200,745
2075-Shrawan-04,2075,Shrawan,4,56500,56200,740
2075-Shrawan-06,2075,Shrawan,6,56800,56500,740
2075-Shrawan-07,2075,Shrawan,7,56800,56500,740
2075-Shrawan-08,2075,Shrawan,8,56600,56300,735
2075-Shrawan-09,2075,Shrawan,9,56600,56300,735
2075-Shrawan-10,2075,Shrawan,10,56700,56400,740
2075-Shrawan-11,2075,Shrawan,11,56500,56200,740
2075-Shrawan-13,2075,Shrawan,13,56500,56200,740
2075-Shrawan-14,2075,Shrawan,14,56400,56100,740
2075-Shrawan-15,2075,Shrawan,15,56300,56000,735
2075-Shrawan-16,2075,Shrawan,16,56300,56000,735
2075-Shrawan-17,2075,Shrawan,17,56000,55700,735
2075-Shrawan-18,2075,Shrawan,18,56000,55700,735
2075-Shrawan-20,2075,Shrawan,20,56000,55700,735
2075-Shrawan-21,2075,Shrawan,21,56100,55800,735
2075-Shrawan-22,2075,Shrawan,22,56100,55800,735
2075-Shrawan-23,2075,Shrawan,23,56100,55800,735
2075-Shrawan-24,2075,Shrawan,24,56100,55800,735
2075-Shrawan-25,2075,Shrawan,25,56200,55900,735
2075-Shrawan-27,2075,Shrawan,27,56200,55900,735
2075-Shrawan-28,2075,Shrawan,28,56400,56100,740
2075-Shrawan-29,2075,Shrawan,29,56100,55800,735
2075-Shrawan-30,2075,Shrawan,30,56000,55700,730
2075-Shrawan-31,2075,Shrawan,31,55600,55300,715
2075-Bhadra-01,2075,Bhadra,1,55600,55300,720
2075-Bhadra-03,2075,Bhadra,3,55800,55500,725
2075-Bhadra-04,2075,Bhadra,4,55800,55500,725
2075-Bhadra-05,2075,Bhadra,5,55800,55500,720
2075-Bhadra-06,2075,Bhadra,6,56100,55800,720
2075-Bhadra-07,2075,Bhadra,7,56000,55700,715
2075-Bhadra-08,2075,Bhadra,8,56000,55700,715
2075-Bhadra-10,2075,Bhadra,10,56600,56300,720
2075-Bhadra-11,2075,Bhadra,11,56600,56300,720
2075-Bhadra-12,2075,Bhadra,12,56800,56500,725
2075-Bhadra-13,2075,Bhadra,13,56800,56500,725
2075-Bhadra-14,2075,Bhadra,14,57000,56700,725
2075-Bhadra-15,2075,Bhadra,15,57300,57000,725
2075-Bhadra-17,2075,Bhadra,17,57300,57000,725
2075-Bhadra-18,2075,Bhadra,18,57000,56700,720
2075-Bhadra-19,2075,Bhadra,19,57200,56900,720
2075-Bhadra-20,2075,Bhadra,20,57200,56900,710
2075-Bhadra-21,2075,Bhadra,21,57600,57300,715
2075-Bhadra-22,2075,Bhadra,22,57800,57500,710
2075-Bhadra-24,2075,Bhadra,24,57800,57500,710
2075-Bhadra-25,2075,Bhadra,25,57800,57500,710
2075-Bhadra-26,2075,Bhadra,26,57900,57600,715
2075-Bhadra-27,2075,Bhadra,27,58200,57900,715
2075-Bhadra-28,2075,Bhadra,28,58200,57900,720
2075-Bhadra-29,2075,Bhadra,29,58000,57700,715
2075-Bhadra-31,2075,Bhadra,31,57600,57300,710
2075-Ashoj-01,2075,Ashoj,1,58000,57700,715
2075-Ashoj-02,2075,Ashoj,2,58000,57700,715
2075-Ashoj-03,2075,Ashoj,3,58400,58100,720
2075-Ashoj-04,2075,Ashoj,4,58400,58100,725
2075-Ashoj-05,2075,Ashoj,5,58100,57800,720
2075-Ashoj-07,2075,Ashoj,7,58100,57800,720
2075-Ashoj-08,2075,Ashoj,8,58100,57800,720
2075-Ashoj-09,2075,Ashoj,9,58400,58100,725
2075-Ashoj-10,2075,Ashoj,10,58400,58100,730
2075-Ashoj-11,2075,Ashoj,11,58100,57800,730
2075-Ashoj-12,2075,Ashoj,12,57700,57400,725
2075-Ashoj-14,2075,Ashoj,14,57800,57500,735
2075-Ashoj-15,2075,Ashoj,15,57800,57500,735
2075-Ashoj-16,2075,Ashoj,16,58100,57800,735
2075-Ashoj-17,2075,Ashoj,17,59000,58700,750
2075-Ashoj-18,2075,Ashoj,18,58900,58600,745
2075-Ashoj-19,2075,Ashoj,19,58900,58600,745
2075-Ashoj-21,2075,Ashoj,21,59200,58900,750
2075-Ashoj-22,2075,Ashoj,22,59000,58700,740
2075-Ashoj-23,2075,Ashoj,23,58900,58600,740
2075-Ashoj-24,2075,Ashoj,24,59000,58700,740
2075-Ashoj-25,2075,Ashoj,25,59300,59000,740
2075-Ashoj-26,2075,Ashoj,26,60000,59700,745
2075-Ashoj-28,2075,Ashoj,28,59800,59500,745
2075-Ashoj-29,2075,Ashoj,29,60000,59700,750
2075-Kartik-05,2075,Kartik,5,60000,59700,745
2075-Kartik-06,2075,Kartik,6,60000,59700,745
2075-Kartik-07,2075,Kartik,7,60100,59800,750
2075-Kartik-08,2075,Kartik,8,60400,60100,750
2075-Kartik-09,2075,Kartik,9,60200,59900,745
2075-Kartik-11,2075,Kartik,11,60200,59900,745
2075-Kartik-12,2075,Kartik,12,60300,60000,745
2075-Kartik-13,2075,Kartik,13,60200,59900,740
2075-Kartik-14,2075,Kartik,14,60000,59700,740
2075-Kartik-15,2075,Kartik,15,59900,59600,735
2075-Kartik-16,2075,Kartik,16,60000,59700,745
2075-Kartik-18,2075,Kartik,18,60000,59700,745
2075-Kartik-19,2075,Kartik,19,60000,59700,745
2075-Kartik-20,2075,Kartik,20,60000,59700,745
2075-Kartik-25,2075,Kartik,25,59000,58700,730
2075-Kartik-26,2075,Kartik,26,58900,58600,725
2075-Kartik-27,2075,Kartik,27,58500,58200,720
2075-Kartik-28,2075,Kartik,28,58200,57900,715
2075-Kartik-29,2075,Kartik,29,58400,58100,715
2075-Kartik-30,2075,Kartik,30,58400,58100,715
2075-Mansir-02,2075,Mansir,2,58700,58400,725
2075-Mansir-03,2075,Mansir,3,58700,58400,725
2075-Mansir-04,2075,Mansir,4,58300,58000,715
2075-Mansir-05,2075,Mansir,5,58300,58000,715
2075-Mansir-06,2075,Mansir,6,58400,58100,720
2075-Mansir-07,2075,Mansir,7,58100,57800,715
2075-Mansir-09,2075,Mansir,9,58000,57700,710
2075-Mansir-10,2075,Mansir,10,57700,57400,705
2075-Mansir-11,2075,Mansir,11,58000,57700,705
2075-Mansir-12,2075,Mansir,12,57600,57300,700
2075-Mansir-13,2075,Mansir,13,57500,57200,705
2075-Mansir-14,2075,Mansir,14,57200,56900,700
2075-Mansir-16,2075,Mansir,16,57200,56900,700
2075-Mansir-17,2075,Mansir,17,57400,57100,700
2075-Mansir-18,2075,Mansir,18,58300,58000,710
2075-Mansir-19,2075,Mansir,19,58400,58100,715
2075-Mansir-20,2075,Mansir,20,58700,58400,715
2075-Mansir-21,2075,Mansir,21,58500,58200,715
2075-Mansir-23,2075,Mansir,23,59000,58700,720
2075-Mansir-24,2075,Mansir,24,59400,59100,725
2075-Mansir-25,2075,Mansir,25,60000,59700,730
2075-Mansir-26,2075,Mansir,26,59800,59500,730
2075-Mansir-27,2075,Mansir,27,59500,59200,735
2075-Mansir-28,2075,Mansir,28,59500,59200,735
2075-Poush-01,2075,Poush,1,59500,59200,730
2075-Poush-02,2075,Poush,2,59300,59000,725
2075-Poush-03,2075,Poush,3,59400,59100,730.0
2075-Poush-04,2075,Poush,4,58800,58500,725
2075-Poush-05,2075,Poush,5,58800,58500,720
2075-Poush-06,2075,Poush,6,58800,58500,720
2075-Poush-08,2075,Poush,8,58800,58500,720
