date,year,month,day,fine_gold,standard_gold,silver
2075-Baisakh-02,2075,Baisakh,2,58600,58300,750
2075-Baisakh-03,2075,Baisakh,3,58800,58500,755
2075-Baisakh-04,2075,Baisakh,4,58800,58500,755
2075-Baisakh-05,2075,Baisakh,5,59000,58700,760
2075-Baisakh-06,2075,Baisakh,6,59300,59000,780
2075-Baisakh-07,2075,Baisakh,7,59200,58900,780
2075-Baisakh-09,2075,Baisakh,9,59000,58700,780
2075-Baisakh-10,2075,Baisakh,10,59000,58700,780
2075-Baisakh-11,2075,Baisakh,11,58800,58500,765
2075-Baisakh-12,2075,Baisakh,12,59000,58700,765
2075-Baisakh-13,2075,Baisakh,13,59000,58700,765
2075-Baisakh-14,2075,Baisakh,14,58700,58400,760
2075-Baisakh-16,2075,Baisakh,16,58900,58600,760
2075-Baisakh-18,2075,Baisakh,18,58500,58200,750
2075-Baisakh-19,2075,Baisakh,19,58500,58200,755
2075-Baisakh-20,2075,Baisakh,20,58300,58000,755
2075-Baisakh-21,2075,Baisakh,21,58500,58200,755
2075-Baisakh-23,2075,Baisakh,23,58700,58400,760
2075-Baisakh-24,2075,Baisakh,24,59000,58700,765
2075-Baisakh-25,2075,Baisakh,25,59000,58700,765
2075-Baisakh-26,2075,Baisakh,26,59000,58700,765
2075-Baisakh-27,2075,Baisakh,27,59100,58800,770
2075-Baisakh-28,2075,Baisakh,28,59200,58900,775
2075-Baisakh-30,2075,Baisakh,30,59300,59000,775
2075-Baisakh-31,2075,Baisakh,31,59200,58900,775
